"isTs"	"is1stLast"	"prevCol"	"del.t"	"condName"
FALSE	"e"	NA	NA	"G1(-/-)"
FALSE	"e"	NA	NA	"G2(-/-)"
FALSE	"e"	NA	NA	"G3(-/-)"
FALSE	"e"	NA	NA	"G4(-/-)"
FALSE	"e"	NA	NA	"G5(-/-)"
FALSE	"e"	NA	NA	"G6(-/-)"
FALSE	"e"	NA	NA	"G7(-/-)"
FALSE	"e"	NA	NA	"G8(-/-)"
FALSE	"e"	NA	NA	"G9(-/-)"
FALSE	"e"	NA	NA	"G10(-/-)"
FALSE	"e"	NA	NA	"wt0"
FALSE	"e"	NA	NA	"wt1"
FALSE	"e"	NA	NA	"wt2"
FALSE	"e"	NA	NA	"wt3"
FALSE	"e"	NA	NA	"wt4"
FALSE	"e"	NA	NA	"wt5"
FALSE	"e"	NA	NA	"wt6"
FALSE	"e"	NA	NA	"wt7"
FALSE	"e"	NA	NA	"wt8"
FALSE	"e"	NA	NA	"wt9"
FALSE	"e"	NA	NA	"wt10"
FALSE	"e"	NA	NA	"wt11"
FALSE	"e"	NA	NA	"wt12"
FALSE	"e"	NA	NA	"wt13"
FALSE	"e"	NA	NA	"wt14"
FALSE	"e"	NA	NA	"wt15"
FALSE	"e"	NA	NA	"wt16"
FALSE	"e"	NA	NA	"wt17"
FALSE	"e"	NA	NA	"wt18"
FALSE	"e"	NA	NA	"wt19"
TRUE	"f"	NA	NA	"TS_1delt_0"
TRUE	"m"	"TS_1delt_0"	50	"TS_1delt_50"
TRUE	"m"	"TS_1delt_50"	50	"TS_1delt_100"
TRUE	"m"	"TS_1delt_100"	50	"TS_1delt_150"
TRUE	"m"	"TS_1delt_150"	50	"TS_1delt_200"
TRUE	"m"	"TS_1delt_200"	50	"TS_1delt_250"
TRUE	"m"	"TS_1delt_250"	50	"TS_1delt_300"
TRUE	"m"	"TS_1delt_300"	50	"TS_1delt_350"
TRUE	"m"	"TS_1delt_350"	50	"TS_1delt_400"
TRUE	"m"	"TS_1delt_400"	50	"TS_1delt_450"
TRUE	"l"	"TS_1delt_450"	50	"TS_1delt_500"
TRUE	"f"	NA	NA	"TS_2delt_500"
TRUE	"m"	"TS_2delt_500"	50	"TS_2delt_550"
TRUE	"m"	"TS_2delt_550"	50	"TS_2delt_600"
TRUE	"m"	"TS_2delt_600"	50	"TS_2delt_650"
TRUE	"m"	"TS_2delt_650"	50	"TS_2delt_700"
TRUE	"m"	"TS_2delt_700"	50	"TS_2delt_750"
TRUE	"m"	"TS_2delt_750"	50	"TS_2delt_800"
TRUE	"m"	"TS_2delt_800"	50	"TS_2delt_850"
TRUE	"m"	"TS_2delt_850"	50	"TS_2delt_900"
TRUE	"m"	"TS_2delt_900"	50	"TS_2delt_950"
TRUE	"l"	"TS_2delt_950"	50	"TS_2delt_1000"
TRUE	"f"	NA	NA	"TS_3delt_0"
TRUE	"m"	"TS_3delt_0"	50	"TS_3delt_50"
TRUE	"m"	"TS_3delt_50"	50	"TS_3delt_100"
TRUE	"m"	"TS_3delt_100"	50	"TS_3delt_150"
TRUE	"m"	"TS_3delt_150"	50	"TS_3delt_200"
TRUE	"m"	"TS_3delt_200"	50	"TS_3delt_250"
TRUE	"m"	"TS_3delt_250"	50	"TS_3delt_300"
TRUE	"m"	"TS_3delt_300"	50	"TS_3delt_350"
TRUE	"m"	"TS_3delt_350"	50	"TS_3delt_400"
TRUE	"m"	"TS_3delt_400"	50	"TS_3delt_450"
TRUE	"l"	"TS_3delt_450"	50	"TS_3delt_500"
TRUE	"f"	NA	NA	"TS_4delt_500"
TRUE	"m"	"TS_4delt_500"	50	"TS_4delt_550"
TRUE	"m"	"TS_4delt_550"	50	"TS_4delt_600"
TRUE	"m"	"TS_4delt_600"	50	"TS_4delt_650"
TRUE	"m"	"TS_4delt_650"	50	"TS_4delt_700"
TRUE	"m"	"TS_4delt_700"	50	"TS_4delt_750"
TRUE	"m"	"TS_4delt_750"	50	"TS_4delt_800"
TRUE	"m"	"TS_4delt_800"	50	"TS_4delt_850"
TRUE	"m"	"TS_4delt_850"	50	"TS_4delt_900"
TRUE	"m"	"TS_4delt_900"	50	"TS_4delt_950"
TRUE	"l"	"TS_4delt_950"	50	"TS_4delt_1000"
TRUE	"f"	NA	NA	"TS_5delt_0"
TRUE	"m"	"TS_5delt_0"	50	"TS_5delt_50"
TRUE	"m"	"TS_5delt_50"	50	"TS_5delt_100"
TRUE	"m"	"TS_5delt_100"	50	"TS_5delt_150"
TRUE	"m"	"TS_5delt_150"	50	"TS_5delt_200"
TRUE	"m"	"TS_5delt_200"	50	"TS_5delt_250"
TRUE	"m"	"TS_5delt_250"	50	"TS_5delt_300"
TRUE	"m"	"TS_5delt_300"	50	"TS_5delt_350"
TRUE	"m"	"TS_5delt_350"	50	"TS_5delt_400"
TRUE	"m"	"TS_5delt_400"	50	"TS_5delt_450"
TRUE	"l"	"TS_5delt_450"	50	"TS_5delt_500"
TRUE	"f"	NA	NA	"TS_6delt_500"
TRUE	"m"	"TS_6delt_500"	50	"TS_6delt_550"
TRUE	"m"	"TS_6delt_550"	50	"TS_6delt_600"
TRUE	"m"	"TS_6delt_600"	50	"TS_6delt_650"
TRUE	"m"	"TS_6delt_650"	50	"TS_6delt_700"
TRUE	"m"	"TS_6delt_700"	50	"TS_6delt_750"
TRUE	"m"	"TS_6delt_750"	50	"TS_6delt_800"
TRUE	"m"	"TS_6delt_800"	50	"TS_6delt_850"
TRUE	"m"	"TS_6delt_850"	50	"TS_6delt_900"
TRUE	"m"	"TS_6delt_900"	50	"TS_6delt_950"
TRUE	"l"	"TS_6delt_950"	50	"TS_6delt_1000"
TRUE	"f"	NA	NA	"TS_7delt_0"
TRUE	"m"	"TS_7delt_0"	50	"TS_7delt_50"
TRUE	"m"	"TS_7delt_50"	50	"TS_7delt_100"
TRUE	"m"	"TS_7delt_100"	50	"TS_7delt_150"
TRUE	"m"	"TS_7delt_150"	50	"TS_7delt_200"
TRUE	"m"	"TS_7delt_200"	50	"TS_7delt_250"
TRUE	"m"	"TS_7delt_250"	50	"TS_7delt_300"
TRUE	"m"	"TS_7delt_300"	50	"TS_7delt_350"
TRUE	"m"	"TS_7delt_350"	50	"TS_7delt_400"
TRUE	"m"	"TS_7delt_400"	50	"TS_7delt_450"
TRUE	"l"	"TS_7delt_450"	50	"TS_7delt_500"
TRUE	"f"	NA	NA	"TS_8delt_500"
TRUE	"m"	"TS_8delt_500"	50	"TS_8delt_550"
TRUE	"m"	"TS_8delt_550"	50	"TS_8delt_600"
TRUE	"m"	"TS_8delt_600"	50	"TS_8delt_650"
TRUE	"m"	"TS_8delt_650"	50	"TS_8delt_700"
TRUE	"m"	"TS_8delt_700"	50	"TS_8delt_750"
TRUE	"m"	"TS_8delt_750"	50	"TS_8delt_800"
TRUE	"m"	"TS_8delt_800"	50	"TS_8delt_850"
TRUE	"m"	"TS_8delt_850"	50	"TS_8delt_900"
TRUE	"m"	"TS_8delt_900"	50	"TS_8delt_950"
TRUE	"l"	"TS_8delt_950"	50	"TS_8delt_1000"
TRUE	"f"	NA	NA	"TS_9delt_0"
TRUE	"m"	"TS_9delt_0"	50	"TS_9delt_50"
TRUE	"m"	"TS_9delt_50"	50	"TS_9delt_100"
TRUE	"m"	"TS_9delt_100"	50	"TS_9delt_150"
TRUE	"m"	"TS_9delt_150"	50	"TS_9delt_200"
TRUE	"m"	"TS_9delt_200"	50	"TS_9delt_250"
TRUE	"m"	"TS_9delt_250"	50	"TS_9delt_300"
TRUE	"m"	"TS_9delt_300"	50	"TS_9delt_350"
