	SS_N_0	SS_N_1	SS_N_2	SS_N_3	SS_N_4	SS_N_5	SS_N_6	SS_N_7	SS_N_8	SS_N_9	SS_N_10	SS_N_11	SS_N_12	SS_N_13	SS_N_14	SS_N_15	SS_N_16	SS_N_17	SS_N_18	SS_N_19	SS_N_20	SS_N_21	SS_N_22	SS_N_23	SS_N_24	SS_N_25	SS_N_26	SS_N_27	SS_N_28	SS_N_29	SS_N_30	SS_N_31	SS_N_32	SS_N_33	SS_N_34	SS_N_35	SS_N_36	SS_N_37	SS_N_38	SS_N_39	SS_N_40	SS_N_41	SS_N_42	SS_N_43	SS_N_44	SS_N_45	SS_N_46	SS_N_47	SS_N_48	SS_N_49	SS_N_50	SS_N_51	SS_N_52	SS_N_53	SS_N_54	SS_N_55	SS_N_56	SS_C_0	SS_C_1	SS_C_2	SS_C_3	SS_C_4	SS_C_5	SS_C_6	SS_C_7	SS_C_8	SS_C_9	SS_C_10	SS_C_11	SS_C_12	SS_C_13	SS_C_14	SS_C_15	SS_C_16	SS_C_17	SS_C_18	SS_C_19	SS_C_20	SS_C_21	SS_C_22	SS_C_23	SS_C_24	SS_C_25	SS_C_26	SS_C_27	SS_C_28	SS_C_29	SS_C_30	SS_C_31	SS_C_32	SS_C_33	SS_C_34	SS_C_35	SS_C_36	SS_C_37	SS_C_38	SS_C_39	SS_C_40	SS_C_41	SS_C_42	SS_C_43	SS_C_44	SS_C_45	SS_C_46	SS_C_47	SS_C_48	SS_C_49	TS_N_0_0	TS_N_1_0	TS_N_2_0	TS_N_3_0	TS_N_4_0	TS_N_5_0	TS_N_0_1	TS_N_1_1	TS_N_2_1	TS_N_3_1	TS_N_4_1	TS_N_5_1	TS_C_0_0	TS_C_1_0	TS_C_2_0	TS_C_3_0	TS_C_4_0	TS_C_5_0	TS_C_0_1	TS_C_1_1	TS_C_2_1	TS_C_3_1	TS_C_4_1	TS_C_5_1
AT2G23320	8.719702929	8.854233598	8.339659624	8.325062515	7.99140746	8.819358506	8.343122336	8.100110725	8.048918615	8.565046847	8.313939955	7.529276953	8.454173569	8.530577594	8.681664578	7.487865594	7.558006686	7.930870791	8.97874898	8.362747585	8.484372579	8.567982728	8.061131586	8.894829368	8.680187443	8.495610845	8.555029029	8.639311134	9.147053456	8.919425571	8.192649568	8.097014178	7.836461219	8.603697584	8.020593255	7.919219324	8.259113684	7.982351412	7.837786497	8.06313064	7.69765315	7.525115305	7.657293817	8.119820025	8.100767388	7.939052311	8.085218464	7.849857119	7.646149669	8.422511337	8.34388011	8.539481273	9.277717994	9.215253534	9.018750022	8.766200913	8.652730537	8.377981339	8.623734099	7.976542955	7.930808626	8.386371954	8.030626616	7.768846093	7.800016528	8.290678206	8.541184644	8.56555135	8.189450929	7.559306181	7.162759168	7.864859613	8.956563984	8.646465747	8.305553586	8.233801554	8.293523053	8.63196681	8.042890002	8.935689117	8.54548809	9.208018437	8.848803876	8.409545017	7.473292407	7.465249277	7.328086369	7.85259392	8.223403842	7.957734144	7.795259377	7.641163224	7.944628222	7.668667653	7.620510075	7.788156297	7.290199836	7.326855803	7.369582574	7.783462497	8.039696865	8.092158229	8.86890672	8.529255668	8.694665333	8.643155792	8.484709523	8.67584579	8.866625414	8.620071587	8.614368439	8.517743461	8.740549395	8.403800204	8.692715251	8.545881517	8.588458334	8.822598178	8.858932461	8.852018861	8.510501169	8.716126253	8.71535085	8.707969913	8.593127485	9.179652594	8.716875122	8.688589275	8.631034913	8.818906397	8.510758157
AT2G23290	6.539835123	6.331181928	6.589741638	6.169511977	6.230630509	6.504108996	5.98481009	6.336952749	6.484444761	6.351427158	8.043170923	7.730693442	7.045511429	7.464508179	8.01293388	7.214277292	7.492247926	6.801042522	7.509390312	6.855105756	7.300393744	6.76128508	7.788969254	8.423640567	8.809265129	6.451044191	6.007143128	6.550633395	6.74854096	6.5020071	6.783874181	6.380092857	6.74594378	6.828387684	6.717132617	6.752564324	6.917235082	6.658865464	6.939406279	6.73695615	6.815542216	6.490623811	6.610690485	6.396919103	6.354879677	6.100686451	6.427457043	6.495996181	6.405264035	6.882547083	6.980682765	6.772825402	6.413265445	6.515746715	6.14082271	6.967533322	6.701942811	7.479506151	7.664371202	6.681683377	6.862945834	7.31680379	6.526161467	8.084928532	7.836300248	8.116621582	6.649566357	7.102816297	7.799510945	7.802934856	7.366833788	8.171412454	6.310344985	7.703481864	8.038623322	7.624776636	7.939823691	7.54706019	6.285169252	6.331980624	6.268731639	6.523690644	6.714980585	6.505097819	6.898950094	6.958435573	6.741133355	6.860355122	6.723794915	6.753389425	6.685438994	6.454951667	6.802982012	6.54704488	6.456257832	6.391066525	7.202481607	6.735167899	7.106385789	6.884958408	7.373521827	7.623468591	6.420679128	6.962278408	6.450326352	6.982307572	6.931491162	7.011619857	6.93920668	6.754139667	7.151973001	7.12040479	6.830411751	6.837752995	6.942588008	7.035718522	6.529374472	6.808188878	6.72936385	6.890580192	6.674850371	7.082070517	7.142680837	7.258556778	7.397111583	6.940961163	7.273024765	6.795654249	7.34008228	7.375668147	7.20294372
AT2G47460	6.592403788	6.663807857	6.665230022	7.380857073	7.591243549	6.810912175	7.510426168	6.734630211	8.350420748	6.426653237	6.375870689	7.220566172	7.218737264	8.248642955	8.61297441	8.168602472	7.444286798	7.50531898	7.704191704	7.398661941	8.200627167	7.816656534	8.034713507	7.435789805	7.863003634	7.529275349	6.983800783	7.976101028	7.924649353	7.311915435	7.730042316	6.293969507	6.066757228	6.016025745	7.914084507	7.350457756	7.335843941	8.609227692	8.710393139	8.555277659	7.590473713	6.966351629	7.1743049	5.742729632	6.380999623	5.128045591	5.576190655	5.637255551	5.703246591	7.421432749	6.803164536	7.16508744	9.161288682	9.036389441	8.379890276	6.285071464	6.76797417	7.616607325	7.202961828	7.159431105	7.36544318	8.06451369	6.95520468	7.393238125	7.08582847	7.529039969	7.652500596	7.699730608	7.962073114	7.198595082	7.246273847	7.706396781	7.828838038	8.629968059	8.217120544	8.370502931	7.415208939	7.633337141	5.821864285	7.975815129	8.240916336	8.2074238	7.701733434	8.180127477	7.01846025	7.192147481	6.989527117	8.134093949	6.817498173	7.146407141	8.589126932	8.460042484	8.730920982	7.196750519	6.814777178	7.121574245	5.811869962	5.296172013	5.472656422	7.270864964	7.931890537	8.243701459	8.651004194	8.452578722	8.842952872	6.775901288	6.807074612	8.38622604	8.188726306	9.238946369	8.811089326	8.366386665	8.630145396	8.836972644	7.984737945	9.035896104	8.306520245	9.460333769	8.600970608	8.985659084	8.365407604	9.8148113	9.16000639	9.138006076	7.961055104	8.82351611	8.247742898	10.19454809	9.165109849	9.560325239	8.143590128
AT2G47520	6.186485804	5.707547749	5.553481907	7.907750769	4.954220865	4.269209676	4.666857776	4.9082747	4.826998057	4.899627724	9.626916479	7.408881384	8.965858314	9.386431499	9.012751762	8.857054103	7.655302319	9.561950331	10.42807633	9.431562592	8.666847736	7.415100348	9.194629772	8.966359518	10.39766566	8.223313032	4.914691225	7.671428954	8.786756026	10.2311369	8.724288396	5.407745437	4.76433626	4.839302988	5.34538218	5.145967719	4.950057087	5.001800136	4.764843064	4.909901338	5.227765234	4.929466703	4.959830746	5.70481422	6.563364194	4.761396526	5.320796193	4.56655809	4.564481652	7.037267382	7.282963285	6.58002829	9.990376984	9.969756605	8.925498043	4.599814187	4.548467941	7.123077416	6.410114323	6.142042795	7.922506197	5.104089394	5.245262947	8.362264478	7.558369003	8.548197131	8.73824777	7.910706103	8.266711897	8.272000352	8.996837327	9.762431576	9.688495888	7.756997467	9.451052453	9.834307672	8.386551919	8.793412025	6.141598266	8.84710591	7.292531743	9.51674132	10.57272678	9.706863558	5.950449999	4.953530316	4.826103115	5.279927473	4.798002571	4.896845862	4.783941461	4.984850695	4.924360501	5.280701168	5.380454536	5.0574712	5.101105165	5.28960155	4.853766019	6.878884055	6.339325102	6.797996313	10.25893675	9.780326836	9.937626621	4.701536226	4.507428383	6.411093426	4.797792689	6.44411469	6.328821022	5.386941567	6.200200755	6.683726852	5.116729642	5.662777246	5.859269929	7.313387605	5.995456998	7.586995451	5.938916912	7.485940596	7.301450871	7.845690212	5.497003966	7.336865667	5.690559197	7.911645865	8.129610236	8.725802621	5.142120111
AT4G25560	4.947942079	5.039359751	5.068459258	5.298248401	6.626527606	6.922663358	6.781308367	6.713107532	6.639419858	6.82297965	4.426106633	4.681108935	4.288335033	7.174800487	9.206704361	6.688521895	5.031896237	5.284571522	6.326711496	5.444020715	8.427587935	8.040322985	5.345116995	5.809608376	5.262539239	6.378582525	5.699508957	4.810081347	6.110340861	5.903271142	6.391239707	4.988373091	5.071557469	5.168409164	5.954760107	5.93072943	5.871405973	5.627298001	5.509196138	5.725413492	6.530631065	6.56757426	6.373241544	6.93858466	6.725793208	6.865182504	6.665559922	6.54787941	6.565515396	5.773435676	5.899282319	5.697360938	5.85969871	6.415047904	5.71515261	5.336571723	5.521891027	6.485381197	6.277210523	5.977609222	5.835351862	6.618727016	6.94874339	6.123134074	6.364722465	5.056864427	7.396498399	8.668500357	7.661117098	5.176117804	4.868848197	6.10557334	6.740365707	8.948561872	8.345560423	5.364124	6.451626178	5.834188584	7.003654701	5.688729015	6.204633261	5.857647583	5.987761189	6.362132301	5.310637196	6.158636209	6.099515972	6.002909283	6.297474643	6.031428426	5.504724551	5.608931579	5.874393497	6.290645635	6.533033096	6.485348425	7.352503005	7.327431236	7.485862233	7.058313759	6.608905358	6.942508549	7.059131742	6.837619478	7.058334257	5.814796688	5.867641108	6.712602926	6.265583817	6.118717034	6.083466998	5.963932544	6.017525232	6.268721332	6.153055774	6.047598165	6.796553999	5.977123024	5.849382719	6.395050963	6.509764766	6.128787141	6.040401061	5.977782618	5.616901412	6.440167748	6.399310957	6.340828819	6.134249272	6.274303382	5.967894745
AT4G16750	5.026406684	4.930916693	4.981550119	5.456695737	5.518440675	4.947110644	4.936132191	5.115305861	4.778940884	5.306662295	4.179180965	4.042270451	4.347512087	4.537964461	5.220575803	4.638154858	5.968604122	5.704459543	5.535400308	5.060812181	4.953091686	5.207272781	4.532281327	4.312580993	5.060088218	4.697640499	5.242446574	4.121391402	5.92166527	5.038065437	5.310422379	4.795436048	4.886044716	4.488704159	5.462912767	5.345688805	5.964551762	5.570872342	5.922324283	5.651768184	4.678338665	4.531891882	4.45858454	4.765765533	4.564555059	4.401985913	4.855914395	4.747043622	4.558241777	4.785531192	5.005633054	4.615036811	4.379110316	4.733899611	4.443633333	5.652174614	4.698341057	5.196808994	5.411420132	5.186786116	5.433951403	5.313399163	5.039511639	4.51407362	4.186291629	4.511337383	4.76157803	4.21945771	5.531818107	5.840139679	5.653228058	5.230487482	4.414525791	4.701730646	4.73826164	3.935974065	4.905336679	5.391322005	7.284453302	4.961428043	4.542994723	5.887827398	5.198975917	5.698423223	6.081194685	5.823840203	5.332552457	5.065931285	5.338192174	5.211463519	5.185736218	5.818876452	5.891452453	4.731206258	4.652589717	4.856763753	4.665652398	4.460003725	4.637920712	5.049587011	5.149701113	6.042760953	4.751246256	4.444752595	4.525860581	5.519083474	4.822809351	5.102027749	4.846402308	4.733620713	4.688498173	4.609565567	4.759621806	5.025459638	5.050778688	4.577497586	4.562670317	4.388718848	4.772393279	4.862681247	4.88076659	4.764199141	4.918562786	4.831053036	4.748514124	5.005311756	5.250623094	4.531811591	4.829232506	4.657042248	4.706500631
AT1G73410	5.783904297	6.344931733	5.44123658	5.771678523	5.338275308	6.261485871	5.305555621	5.447665676	5.062130861	5.533788392	6.072158879	4.108821228	4.900948267	5.320268082	5.216767773	4.873348308	4.517991927	4.485537515	4.596135362	4.360779449	4.516376019	5.501032389	4.307057381	4.516512789	4.680445816	6.462879353	5.8743395	5.679903762	6.091812479	5.836182015	6.605868162	5.594875094	5.872589154	5.109839289	5.83630967	5.85899027	5.841846721	5.742092461	6.099416341	5.573416077	5.649809882	5.872396248	6.061537417	6.611627864	6.793849352	6.760864484	6.468118965	5.997119276	6.022636137	6.539074701	6.599965365	5.52384587	6.597672516	6.649334812	6.361370809	6.665083213	6.09294217	5.967547146	6.60280364	5.489473093	5.446754073	5.826576129	6.603939998	5.65118414	4.0570566	5.073768513	4.898880674	4.594939168	4.66287447	4.95729587	4.267896463	4.65185824	5.04418033	4.165596626	4.245482277	4.957861708	4.533396862	4.580951289	5.282581564	5.425715436	6.749135968	6.087426019	6.182974661	5.961434427	5.465107511	6.040697157	5.354244679	6.060765702	5.93543445	5.841527267	6.032919631	6.292241633	6.250943168	5.734889417	6.055086246	6.166597643	7.0372621	6.863079262	6.967944152	5.889735026	5.588780926	6.132310059	5.909070571	5.780266693	6.161504141	7.384939684	7.098491487	6.294647945	5.427716573	6.590149725	6.726915995	6.093041939	6.638459397	6.143232837	5.87602987	6.489348027	7.044750341	6.538378847	6.883369375	6.27792852	5.962535498	7.124197039	6.896606185	7.171538772	6.370978146	6.301476234	6.057786075	7.283049148	7.36005673	7.374170912	6.419057298
AT1G51140	6.920831883	7.000676733	7.200342604	6.727324881	6.473260737	6.425675447	6.523313704	6.820120926	6.89641206	6.992311412	5.364402379	4.525273536	5.179866973	4.923264758	5.026350591	5.351141554	7.272840174	5.874635356	5.903448367	6.452013545	6.05416644	5.837788625	5.623873298	5.715751951	5.099717778	6.102328623	6.352466675	6.073398577	6.390597606	6.788007427	7.028692367	6.891733146	6.303792768	6.713791535	7.571313913	7.734863395	7.419358743	6.962439294	6.970824251	6.90095016	7.00487784	6.742229751	7.026046852	6.872130764	6.943251308	6.831197965	6.801961605	6.741827776	6.666799577	6.057735913	6.199894121	6.130734138	6.11116446	5.871011016	5.948053448	7.292986772	7.410109124	7.444444534	7.758123578	7.80810686	7.484326866	7.084087647	7.447888542	5.151689421	5.330135253	4.342664971	5.241014158	5.81387898	5.173716607	7.259644783	7.046277127	6.153476645	7.320076749	6.532443105	6.673184717	6.284992623	5.658592886	5.782641697	5.964704075	5.689354872	7.085829706	6.250274774	6.195768946	6.638977708	7.553917641	7.317868469	7.151320492	7.291400836	7.553857221	7.566524608	7.061528001	7.172511258	6.85162349	7.106750591	6.839325423	7.585137212	8.073706925	8.006293057	8.101032044	6.758838459	6.876406746	6.93465439	6.851274261	6.978719798	6.449136168	7.20836715	7.32419333	6.549037657	6.496040311	7.033180745	6.813180902	7.123276177	6.812159698	6.459126797	6.823918713	6.87698801	6.835439521	6.470371257	7.210614738	5.847115326	6.569322156	6.769546359	6.984046467	6.985349017	6.834417846	5.420742461	6.516932099	6.675118287	6.801961605	6.703159581	7.213489891
AT1G26150	5.354696936	5.895878711	5.761399375	4.85972884	5.871951561	6.202011318	5.680842203	5.264389653	5.231649263	5.015031921	5.792558607	5.189675515	4.834826513	4.500421955	4.573573395	5.554620209	5.029427489	5.153137636	6.253908757	6.455032725	5.111746459	7.338989969	5.329318125	5.843563694	5.502843371	5.574336637	5.358543604	5.102160835	5.587132987	5.17815161	5.425178796	4.904660113	4.867337108	4.499403643	4.480653539	4.758491152	4.756112238	5.006175769	5.427130951	5.130192764	4.78913766	5.278628686	5.22729445	4.777594587	4.769223966	4.733098878	5.022701683	4.649991202	4.893990431	4.637428124	4.82552464	4.942287105	5.078458741	5.482915197	4.756501589	5.747004267	6.256206606	5.514311354	5.933255511	5.994099786	5.003853091	6.078254172	5.817883205	5.473254515	5.412693303	4.787495135	4.976782178	5.213812464	4.998916105	5.454310426	5.278628686	5.305202154	4.82557907	5.721542144	6.241607653	5.424337576	4.630557661	5.494922764	5.160066578	4.78698966	6.731854721	5.69162836	5.242913609	4.848425415	4.844462824	4.586208817	4.553739082	4.915566632	4.990562146	5.147393679	5.511345308	5.44468327	5.159128573	5.059128137	5.195986401	5.027360927	5.189039342	5.374623758	5.095755348	4.693853951	5.083694674	4.81275733	6.121850497	6.179737209	6.496309511	5.908773798	6.498397461	4.651986953	4.555729186	5.950126567	5.398584877	5.405537518	5.898569133	4.601985619	4.820472772	5.993918949	6.393230403	5.712636671	5.754589049	4.789842525	4.8407752	6.191768129	5.382177287	5.483787256	5.45203635	4.591452639	4.810087402	6.157851862	5.581649798	5.832739275	5.666787064
AT5G19790	9.087647144	8.780118346	7.610866	8.377215722	7.052598225	6.840267923	6.674524077	6.544234203	7.177138228	6.29695357	6.431218463	6.615334603	7.349637865	6.160802257	5.828660916	7.00271953	6.986636567	7.729100045	6.715218248	6.673093975	7.706852926	6.186146667	6.015896993	5.446423255	6.616329699	7.172213194	8.025418324	7.004140164	5.918312557	6.846752265	6.905976947	7.413086929	6.859497272	6.930204518	7.816788415	7.927251046	7.375209385	7.155062465	6.755768277	7.095349249	7.82858939	7.328808385	7.262297626	9.260507215	9.250128836	9.230923047	8.963470972	8.973133652	9.149186059	8.084569836	6.704580517	7.7809632	7.193891493	7.521398852	7.45903333	6.157816995	6.701761418	8.499340269	8.67243924	7.484351297	7.513392144	7.169961529	6.741500263	6.823854053	6.615518021	6.515656406	6.66164235	6.097886835	6.328823284	6.690895595	5.948203395	6.772202323	5.448922494	5.361178092	5.465210309	6.503096782	7.039265767	7.429468627	8.080718836	6.757640583	6.502839024	6.928364201	7.196433767	7.197100982	7.127261346	7.287834111	7.245605879	7.411100557	7.488594599	7.637942152	7.837685377	7.35721365	7.14550513	8.129084209	7.912063529	7.569385553	8.557074448	8.437529797	8.345084981	7.539281961	6.939475833	7.723955159	5.95621356	5.674124211	5.275693683	6.314538151	7.102418399	7.383872736	7.87007818	7.578488253	7.317864027	7.431437301	7.208180998	7.373958803	7.525329864	7.335497385	8.665983207	7.615889284	7.59165656	7.414877556	7.46283677	7.297906674	7.883627541	7.786363311	7.683070525	7.50360094	7.762592334	7.860024175	7.275440175	7.421935685	7.914673702
