isTs	is1stLast	prevCol	del.t	condName
FALSE	e	NA	NA	SS_N_0
FALSE	e	NA	NA	SS_N_1
FALSE	e	NA	NA	SS_N_2
FALSE	e	NA	NA	SS_N_3
FALSE	e	NA	NA	SS_N_4
FALSE	e	NA	NA	SS_N_5
FALSE	e	NA	NA	SS_N_6
FALSE	e	NA	NA	SS_N_7
FALSE	e	NA	NA	SS_N_8
FALSE	e	NA	NA	SS_N_9
FALSE	e	NA	NA	SS_N_10
FALSE	e	NA	NA	SS_N_11
FALSE	e	NA	NA	SS_N_12
FALSE	e	NA	NA	SS_N_13
FALSE	e	NA	NA	SS_N_14
FALSE	e	NA	NA	SS_N_15
FALSE	e	NA	NA	SS_N_16
FALSE	e	NA	NA	SS_N_17
FALSE	e	NA	NA	SS_N_18
FALSE	e	NA	NA	SS_N_19
FALSE	e	NA	NA	SS_N_20
FALSE	e	NA	NA	SS_N_21
FALSE	e	NA	NA	SS_N_22
FALSE	e	NA	NA	SS_N_23
FALSE	e	NA	NA	SS_N_24
FALSE	e	NA	NA	SS_N_25
FALSE	e	NA	NA	SS_N_26
FALSE	e	NA	NA	SS_N_27
FALSE	e	NA	NA	SS_N_28
FALSE	e	NA	NA	SS_N_29
FALSE	e	NA	NA	SS_N_30
FALSE	e	NA	NA	SS_N_31
FALSE	e	NA	NA	SS_N_32
FALSE	e	NA	NA	SS_N_33
FALSE	e	NA	NA	SS_N_34
FALSE	e	NA	NA	SS_N_35
FALSE	e	NA	NA	SS_N_36
FALSE	e	NA	NA	SS_N_37
FALSE	e	NA	NA	SS_N_38
FALSE	e	NA	NA	SS_N_39
FALSE	e	NA	NA	SS_N_40
FALSE	e	NA	NA	SS_N_41
FALSE	e	NA	NA	SS_N_42
FALSE	e	NA	NA	SS_N_43
FALSE	e	NA	NA	SS_N_44
FALSE	e	NA	NA	SS_N_45
FALSE	e	NA	NA	SS_N_46
FALSE	e	NA	NA	SS_N_47
FALSE	e	NA	NA	SS_N_48
FALSE	e	NA	NA	SS_N_49
FALSE	e	NA	NA	SS_N_50
FALSE	e	NA	NA	SS_N_51
FALSE	e	NA	NA	SS_N_52
FALSE	e	NA	NA	SS_N_53
FALSE	e	NA	NA	SS_N_54
FALSE	e	NA	NA	SS_N_55
FALSE	e	NA	NA	SS_N_56
FALSE	e	NA	NA	SS_C_0
FALSE	e	NA	NA	SS_C_1
FALSE	e	NA	NA	SS_C_2
FALSE	e	NA	NA	SS_C_3
FALSE	e	NA	NA	SS_C_4
FALSE	e	NA	NA	SS_C_5
FALSE	e	NA	NA	SS_C_6
FALSE	e	NA	NA	SS_C_7
FALSE	e	NA	NA	SS_C_8
FALSE	e	NA	NA	SS_C_9
FALSE	e	NA	NA	SS_C_10
FALSE	e	NA	NA	SS_C_11
FALSE	e	NA	NA	SS_C_12
FALSE	e	NA	NA	SS_C_13
FALSE	e	NA	NA	SS_C_14
FALSE	e	NA	NA	SS_C_15
FALSE	e	NA	NA	SS_C_16
FALSE	e	NA	NA	SS_C_17
FALSE	e	NA	NA	SS_C_18
FALSE	e	NA	NA	SS_C_19
FALSE	e	NA	NA	SS_C_20
FALSE	e	NA	NA	SS_C_21
FALSE	e	NA	NA	SS_C_22
FALSE	e	NA	NA	SS_C_23
FALSE	e	NA	NA	SS_C_24
FALSE	e	NA	NA	SS_C_25
FALSE	e	NA	NA	SS_C_26
FALSE	e	NA	NA	SS_C_27
FALSE	e	NA	NA	SS_C_28
FALSE	e	NA	NA	SS_C_29
FALSE	e	NA	NA	SS_C_30
FALSE	e	NA	NA	SS_C_31
FALSE	e	NA	NA	SS_C_32
FALSE	e	NA	NA	SS_C_33
FALSE	e	NA	NA	SS_C_34
FALSE	e	NA	NA	SS_C_35
FALSE	e	NA	NA	SS_C_36
FALSE	e	NA	NA	SS_C_37
FALSE	e	NA	NA	SS_C_38
FALSE	e	NA	NA	SS_C_39
FALSE	e	NA	NA	SS_C_40
FALSE	e	NA	NA	SS_C_41
FALSE	e	NA	NA	SS_C_42
FALSE	e	NA	NA	SS_C_43
FALSE	e	NA	NA	SS_C_44
FALSE	e	NA	NA	SS_C_45
FALSE	e	NA	NA	SS_C_46
FALSE	e	NA	NA	SS_C_47
FALSE	e	NA	NA	SS_C_48
FALSE	e	NA	NA	SS_C_49
TRUE	f	NA	NA	TS_N_0_0
TRUE	m	TS_N_0_0	3	TS_N_1_0
TRUE	m	TS_N_1_0	3	TS_N_2_0
TRUE	m	TS_N_2_0	3	TS_N_3_0
TRUE	m	TS_N_3_0	3	TS_N_4_0
TRUE	l	TS_N_4_0	5	TS_N_5_0
TRUE	f	NA	NA	TS_N_0_1
TRUE	m	TS_N_0_1	3	TS_N_1_1
TRUE	m	TS_N_1_1	3	TS_N_2_1
TRUE	m	TS_N_2_1	3	TS_N_3_1
TRUE	m	TS_N_3_1	3	TS_N_4_1
TRUE	l	TS_N_4_1	5	TS_N_5_1
TRUE	f	NA	NA	TS_C_0_0
TRUE	m	TS_C_0_0	3	TS_C_1_0
TRUE	m	TS_C_1_0	3	TS_C_2_0
TRUE	m	TS_C_2_0	3	TS_C_3_0
TRUE	m	TS_C_3_0	3	TS_C_4_0
TRUE	l	TS_C_4_0	5	TS_C_5_0
TRUE	f	NA	NA	TS_C_0_1
TRUE	m	TS_C_0_1	3	TS_C_1_1
TRUE	m	TS_C_1_1	3	TS_C_2_1
TRUE	m	TS_C_2_1	3	TS_C_3_1
TRUE	m	TS_C_3_1	3	TS_C_4_1
TRUE	l	TS_C_4_1	5	TS_C_5_1
